DIA;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total;;Usos abono anual acumulado;Usos abono ocasional acumulado;Usos total acumulado desde inicio;;Acumulado mes total
20/04/2016;5.320;30;5.350;;;;;;
21/04/2016;9.362;144;9.506;;;;;;
22/04/2016;9.168;169;9.337;;;;;;
23/04/2016;7.012;292;7.304;;;;;;
24/04/2016;8.065;553;8.618;;;;;;
25/04/2016;9.355;157;9.512;;;;;;
26/04/2016;10.328;104;10.432;;;;;;
27/04/2016;10.320;128;10.448;;;;;;
28/04/2016;9.859;142;10.001;;;;;;
29/04/2016;9.532;221;9.753;;;;;;
30/04/2016;6.956;511;7.467;;;;;;
